Season,Team,League,Games,Championship_Season,Stat,Value,Stat_Type
2015,SFN,NL,150,False,Walks_per_Game,0.37333333333333335,Regular Season Per-Game
2016,SFN,NL,146,False,Walks_per_Game,0.4383561643835616,Regular Season Per-Game
2017,SFN,NL,140,False,Walks_per_Game,0.4357142857142857,Regular Season Per-Game
2018,SFN,NL,105,False,Walks_per_Game,0.42857142857142855,Regular Season Per-Game
2019,SFN,NL,114,False,Walks_per_Game,0.2982456140350877,Regular Season Per-Game
2021,SFN,NL,113,False,Walks_per_Game,0.49557522123893805,Regular Season Per-Game
2009,SFN,NL,7,False,Strikeouts_per_Game,0.5714285714285714,Regular Season Per-Game
2010,SFN,NL,108,True,Strikeouts_per_Game,0.5092592592592593,Regular Season Per-Game
2011,SFN,NL,45,False,Strikeouts_per_Game,0.6666666666666666,Regular Season Per-Game
2012,SFN,NL,148,True,Strikeouts_per_Game,0.6486486486486487,Regular Season Per-Game
2013,SFN,NL,148,False,Strikeouts_per_Game,0.47297297297297297,Regular Season Per-Game
2014,SFN,NL,147,True,Strikeouts_per_Game,0.46938775510204084,Regular Season Per-Game
2015,SFN,NL,150,False,Strikeouts_per_Game,0.3466666666666667,Regular Season Per-Game
2016,SFN,NL,146,False,Strikeouts_per_Game,0.4657534246575342,Regular Season Per-Game
2017,SFN,NL,140,False,Strikeouts_per_Game,0.4714285714285714,Regular Season Per-Game
2018,SFN,NL,105,False,Strikeouts_per_Game,0.5047619047619047,Regular Season Per-Game
2019,SFN,NL,114,False,Strikeouts_per_Game,0.6228070175438597,Regular Season Per-Game
2021,SFN,NL,113,False,Strikeouts_per_Game,0.7699115044247787,Regular Season Per-Game
2009,SFN,NL,7,False,Doubles_per_Game,0.0,Regular Season Per-Game
2010,SFN,NL,108,True,Doubles_per_Game,0.21296296296296297,Regular Season Per-Game
2011,SFN,NL,45,False,Doubles_per_Game,0.1111111111111111,Regular Season Per-Game
2012,SFN,NL,148,True,Doubles_per_Game,0.2635135135135135,Regular Season Per-Game
2013,SFN,NL,148,False,Doubles_per_Game,0.22972972972972974,Regular Season Per-Game
2014,SFN,NL,147,True,Doubles_per_Game,0.19047619047619047,Regular Season Per-Game
2015,SFN,NL,150,False,Doubles_per_Game,0.18666666666666668,Regular Season Per-Game
2016,SFN,NL,146,False,Doubles_per_Game,0.22602739726027396,Regular Season Per-Game
2017,SFN,NL,140,False,Doubles_per_Game,0.24285714285714285,Regular Season Per-Game
2018,SFN,NL,105,False,Doubles_per_Game,0.20952380952380953,Regular Season Per-Game
2019,SFN,NL,114,False,Doubles_per_Game,0.21052631578947367,Regular Season Per-Game
2021,SFN,NL,113,False,Doubles_per_Game,0.20353982300884957,Regular Season Per-Game
2009,SFN,NL,7,False,Triples_per_Game,0.0,Regular Season Per-Game
2010,SFN,NL,108,True,Triples_per_Game,0.018518518518518517,Regular Season Per-Game
2011,SFN,NL,45,False,Triples_per_Game,0.0,Regular Season Per-Game
2012,SFN,NL,148,True,Triples_per_Game,0.006756756756756757,Regular Season Per-Game
2013,SFN,NL,148,False,Triples_per_Game,0.006756756756756757,Regular Season Per-Game
